Navn;Stasjon;Tid(norsk normaltid);Snødybde;Nedbør (døgn)
Ytre Holmebukt;SN91080;01.09.2020;0;3,9
Ytre Holmebukt;SN91080;02.09.2020;0;1,9
Ytre Holmebukt;SN91080;03.09.2020;0;0
Ytre Holmebukt;SN91080;04.09.2020;0;0
Ytre Holmebukt;SN91080;05.09.2020;0;9,9
Ytre Holmebukt;SN91080;06.09.2020;0;3
Ytre Holmebukt;SN91080;07.09.2020;0;0,7
Ytre Holmebukt;SN91080;08.09.2020;0;0,7
Ytre Holmebukt;SN91080;09.09.2020;0;1,6
Ytre Holmebukt;SN91080;10.09.2020;0;0,1
Ytre Holmebukt;SN91080;11.09.2020;0;6,1
Ytre Holmebukt;SN91080;12.09.2020;0;1,7
Ytre Holmebukt;SN91080;13.09.2020;0;0,5
Ytre Holmebukt;SN91080;14.09.2020;0;6,6
Ytre Holmebukt;SN91080;15.09.2020;0;3,2
Ytre Holmebukt;SN91080;16.09.2020;0;2,4
Ytre Holmebukt;SN91080;17.09.2020;0;1,4
Ytre Holmebukt;SN91080;18.09.2020;0;12,8
Ytre Holmebukt;SN91080;19.09.2020;0;19,3
Ytre Holmebukt;SN91080;20.09.2020;0;1
Ytre Holmebukt;SN91080;21.09.2020;0;16,5
Ytre Holmebukt;SN91080;22.09.2020;0;62,8
Ytre Holmebukt;SN91080;23.09.2020;0;3,1
Ytre Holmebukt;SN91080;24.09.2020;0;2,4
Ytre Holmebukt;SN91080;25.09.2020;0;1,2
Ytre Holmebukt;SN91080;26.09.2020;0;1,8
Ytre Holmebukt;SN91080;27.09.2020;0;0
Ytre Holmebukt;SN91080;28.09.2020;0;0
Ytre Holmebukt;SN91080;29.09.2020;0;0
Ytre Holmebukt;SN91080;30.09.2020;0;0
Ytre Holmebukt;SN91080;01.10.2020;0;0,2
Ytre Holmebukt;SN91080;02.10.2020;0;0
Ytre Holmebukt;SN91080;03.10.2020;0;0
Ytre Holmebukt;SN91080;04.10.2020;0;0
Ytre Holmebukt;SN91080;05.10.2020;0;0
Ytre Holmebukt;SN91080;06.10.2020;0;0
Ytre Holmebukt;SN91080;07.10.2020;0;0
Ytre Holmebukt;SN91080;08.10.2020;0;0
Ytre Holmebukt;SN91080;09.10.2020;0;0,1
Ytre Holmebukt;SN91080;10.10.2020;0;0,6
Ytre Holmebukt;SN91080;11.10.2020;0;9,1
Ytre Holmebukt;SN91080;12.10.2020;0;0,4
Ytre Holmebukt;SN91080;13.10.2020;0;0,8
Ytre Holmebukt;SN91080;14.10.2020;0;0,1
Ytre Holmebukt;SN91080;15.10.2020;0;4,6
Ytre Holmebukt;SN91080;16.10.2020;0;3,9
Ytre Holmebukt;SN91080;17.10.2020;0;13,3
Ytre Holmebukt;SN91080;18.10.2020;0;0,5
Ytre Holmebukt;SN91080;19.10.2020;0;0
Ytre Holmebukt;SN91080;20.10.2020;0;0
Ytre Holmebukt;SN91080;21.10.2020;0;0
Ytre Holmebukt;SN91080;22.10.2020;0;0
Ytre Holmebukt;SN91080;23.10.2020;2;0,8
Ytre Holmebukt;SN91080;24.10.2020;4;9,8
Ytre Holmebukt;SN91080;25.10.2020;3;16,4
Ytre Holmebukt;SN91080;26.10.2020;0;0,4
Ytre Holmebukt;SN91080;27.10.2020;0;0
Ytre Holmebukt;SN91080;28.10.2020;0;0
Ytre Holmebukt;SN91080;29.10.2020;0;0
Ytre Holmebukt;SN91080;30.10.2020;4;3,8
Ytre Holmebukt;SN91080;31.10.2020;2;0
Ytre Holmebukt;SN91080;01.11.2020;2;0
Ytre Holmebukt;SN91080;02.11.2020;0;0
Ytre Holmebukt;SN91080;03.11.2020;0;5,5
Ytre Holmebukt;SN91080;04.11.2020;0;1,4
Ytre Holmebukt;SN91080;05.11.2020;0;12,1
Ytre Holmebukt;SN91080;06.11.2020;0;19,8
Ytre Holmebukt;SN91080;07.11.2020;0;11,1
Ytre Holmebukt;SN91080;08.11.2020;0;9,8
Ytre Holmebukt;SN91080;09.11.2020;0;12,6
Ytre Holmebukt;SN91080;10.11.2020;0;5,1
Ytre Holmebukt;SN91080;11.11.2020;0;0
Ytre Holmebukt;SN91080;12.11.2020;0;0
Ytre Holmebukt;SN91080;13.11.2020;0;0
Ytre Holmebukt;SN91080;14.11.2020;0;0
Ytre Holmebukt;SN91080;15.11.2020;0;0,1
Ytre Holmebukt;SN91080;16.11.2020;0;0
Ytre Holmebukt;SN91080;17.11.2020;0;0
Ytre Holmebukt;SN91080;18.11.2020;0;0
Ytre Holmebukt;SN91080;19.11.2020;3;9,2
Ytre Holmebukt;SN91080;20.11.2020;14;12
Ytre Holmebukt;SN91080;21.11.2020;14;1,3
Ytre Holmebukt;SN91080;22.11.2020;12;1,4
Ytre Holmebukt;SN91080;23.11.2020;11;0,9
Ytre Holmebukt;SN91080;24.11.2020;10;4,7
Ytre Holmebukt;SN91080;25.11.2020;10;0,2
Ytre Holmebukt;SN91080;26.11.2020;10;0
Ytre Holmebukt;SN91080;27.11.2020;10;0
Ytre Holmebukt;SN91080;28.11.2020;5;0
Ytre Holmebukt;SN91080;29.11.2020;0;3,3
Ytre Holmebukt;SN91080;30.11.2020;0;3,5
Ytre Holmebukt;SN91080;01.12.2020;3;2,9
Ytre Holmebukt;SN91080;02.12.2020;4;1,8
Ytre Holmebukt;SN91080;03.12.2020;0;0
Ytre Holmebukt;SN91080;04.12.2020;0;0,8
Ytre Holmebukt;SN91080;05.12.2020;0;0
Ytre Holmebukt;SN91080;06.12.2020;1;0,4
Ytre Holmebukt;SN91080;07.12.2020;1;0
Ytre Holmebukt;SN91080;08.12.2020;1;0
Ytre Holmebukt;SN91080;09.12.2020;1;0
Ytre Holmebukt;SN91080;10.12.2020;0;1,4
Ytre Holmebukt;SN91080;11.12.2020;0;0,4
Ytre Holmebukt;SN91080;12.12.2020;0;0
Ytre Holmebukt;SN91080;13.12.2020;0;0
Ytre Holmebukt;SN91080;14.12.2020;0;0
Ytre Holmebukt;SN91080;15.12.2020;0;0,1
Ytre Holmebukt;SN91080;16.12.2020;1;0,3
Ytre Holmebukt;SN91080;17.12.2020;1;0
Ytre Holmebukt;SN91080;18.12.2020;0;0
Ytre Holmebukt;SN91080;19.12.2020;0;0
Ytre Holmebukt;SN91080;20.12.2020;0;0,1
Ytre Holmebukt;SN91080;21.12.2020;0;5,6
Ytre Holmebukt;SN91080;22.12.2020;0;0,6
Ytre Holmebukt;SN91080;23.12.2020;0;0
Ytre Holmebukt;SN91080;24.12.2020;0;0
Ytre Holmebukt;SN91080;25.12.2020;0;0
Ytre Holmebukt;SN91080;26.12.2020;0;0
Ytre Holmebukt;SN91080;27.12.2020;0;0
Ytre Holmebukt;SN91080;28.12.2020;0;0
Ytre Holmebukt;SN91080;29.12.2020;0;0
Ytre Holmebukt;SN91080;30.12.2020;0;0
Ytre Holmebukt;SN91080;31.12.2020;0;0
Ytre Holmebukt;SN91080;01.01.2021;0;0
Ytre Holmebukt;SN91080;02.01.2021;0;0
Ytre Holmebukt;SN91080;03.01.2021;0;0
Ytre Holmebukt;SN91080;04.01.2021;0;0,2
Ytre Holmebukt;SN91080;05.01.2021;0;0,2
Ytre Holmebukt;SN91080;06.01.2021;0;0,9
Ytre Holmebukt;SN91080;07.01.2021;0;0,2
Ytre Holmebukt;SN91080;08.01.2021;0;0
Ytre Holmebukt;SN91080;09.01.2021;0;0
Ytre Holmebukt;SN91080;10.01.2021;0;0
Ytre Holmebukt;SN91080;11.01.2021;0;0
Ytre Holmebukt;SN91080;12.01.2021;0;0
Ytre Holmebukt;SN91080;13.01.2021;0;0
Ytre Holmebukt;SN91080;14.01.2021;0;0
Ytre Holmebukt;SN91080;15.01.2021;0;0,2
Ytre Holmebukt;SN91080;16.01.2021;0;3,6
Ytre Holmebukt;SN91080;17.01.2021;0;1,6
Ytre Holmebukt;SN91080;18.01.2021;0;0
Ytre Holmebukt;SN91080;19.01.2021;0;0,4
Ytre Holmebukt;SN91080;20.01.2021;0;0
Ytre Holmebukt;SN91080;21.01.2021;0;0
Ytre Holmebukt;SN91080;22.01.2021;0;0
Ytre Holmebukt;SN91080;23.01.2021;0;0
Ytre Holmebukt;SN91080;24.01.2021;0;0
Ytre Holmebukt;SN91080;25.01.2021;0;0
Ytre Holmebukt;SN91080;26.01.2021;0;0
Ytre Holmebukt;SN91080;27.01.2021;0;0
Ytre Holmebukt;SN91080;28.01.2021;0;0
Ytre Holmebukt;SN91080;29.01.2021;0;0
Ytre Holmebukt;SN91080;30.01.2021;0;0
Ytre Holmebukt;SN91080;31.01.2021;0;0
Ytre Holmebukt;SN91080;01.02.2021;2;1,1
Ytre Holmebukt;SN91080;02.02.2021;14;8,9
Ytre Holmebukt;SN91080;03.02.2021;13;0
Ytre Holmebukt;SN91080;04.02.2021;24;9,9
Ytre Holmebukt;SN91080;05.02.2021;27;7,4
Ytre Holmebukt;SN91080;06.02.2021;38;11,7
Ytre Holmebukt;SN91080;07.02.2021;43;9,5
Ytre Holmebukt;SN91080;08.02.2021;42;3,6
Ytre Holmebukt;SN91080;09.02.2021;51;6,6
Ytre Holmebukt;SN91080;10.02.2021;57;10,5
Ytre Holmebukt;SN91080;11.02.2021;56;3,8
Ytre Holmebukt;SN91080;12.02.2021;61;18,2
Ytre Holmebukt;SN91080;13.02.2021;81;15,8
Ytre Holmebukt;SN91080;14.02.2021;69;0
Ytre Holmebukt;SN91080;15.02.2021;68;4,7
Ytre Holmebukt;SN91080;16.02.2021;64;0,9
Ytre Holmebukt;SN91080;17.02.2021;61;0
Ytre Holmebukt;SN91080;18.02.2021;58;0
Ytre Holmebukt;SN91080;19.02.2021;56;0
Ytre Holmebukt;SN91080;20.02.2021;52;0
Ytre Holmebukt;SN91080;21.02.2021;50;0
Ytre Holmebukt;SN91080;22.02.2021;45;1,4
Ytre Holmebukt;SN91080;23.02.2021;43;0
Ytre Holmebukt;SN91080;24.02.2021;42;0
